PAS_ID,padj,delta_usage,closest,xlinksite_GT_content,delta_usage_bin
chr1:854387:+,1.07682774743088e-17,-0.195707863140912,425,0.392156862745098,2_decrease
chr1:2185393:+,1.32860261212393e-12,-0.102407440640793,-349,0.509803921568627,2_decrease
chr1:2403216:+,1.47818569240717e-24,-0.157411466631134,414.5,0.607843137254902,2_decrease
chr1:2405435:+,1.65923964111543e-37,0.183038505751896,-227,0.666666666666667,1_increase
chr1:6633561:+,8.17667002317807e-27,-0.13847799931629,-152.5,0.568627450980392,2_decrease
chr1:7263542:+,3.77388541101183e-129,0.352179128181932,-215,0.509803921568627,1_increase
chr1:7769705:+,6.99424123230801e-62,-0.294412584338895,-64.5,0.607843137254902,2_decrease
chr1:9985497:+,8.31383445687909e-06,0.165658856135047,-232.5,0.549019607843137,1_increase
chr1:10180602:+,8.28030738845875e-05,-0.122397719840306,370,0.411764705882353,2_decrease
chr1:10181236:+,8.28030738845875e-05,0.122397719840306,-264,0.411764705882353,1_increase
chr1:11025491:+,1.85963378226176e-05,0.119143268079439,495,0.470588235294118,1_increase
chr1:11286282:+,2.28620640223727e-12,-0.289253703419209,430,0.627450980392157,2_decrease
chr1:11288433:+,2.28620640223727e-12,0.289253703419209,19,0.607843137254902,1_increase
chr1:12510361:+,1.49490912327684e-06,-0.105029156114917,489.5,0.431372549019608,2_decrease
chr1:12512043:+,2.74436688826771e-14,0.172057481055177,-225,0.588235294117647,1_increase
chr1:13788074:+,1.41859370109378e-105,0.298162564162696,-76.5,0.490196078431373,1_increase
chr1:13825077:+,1.46031525831476e-167,-0.42518678682466,-17,0.470588235294118,2_decrease
chr1:15430330:+,0.0228498504503553,0.175773832849866,-36,0.529411764705882,1_increase
chr1:15662029:+,0.000233391578376877,-0.113989961394506,284,0.725490196078431,2_decrease
chr1:15662280:+,0.000365616565823924,-0.103291499766155,502.5,0.705882352941177,2_decrease
chr1:15669040:+,5.53222960263954e-08,0.217281461160661,-72.5,0.549019607843137,1_increase
chr1:16460077:+,1.26574265901149e-18,0.386696341255755,-87.5,0.490196078431373,1_increase
chr1:19258988:+,1.38937354339329e-06,-0.110171676376989,-51.5,0.549019607843137,2_decrease
chr1:19260126:+,9.06616683656391e-07,-0.131253843197061,-28.5,0.549019607843137,2_decrease
chr1:19626627:+,8.59119860606099e-64,-0.276283646776705,66,0.549019607843137,2_decrease
chr1:19629818:+,8.59119860606099e-64,0.276283646776705,-55.5,0.647058823529412,1_increase
